car,price,body,mileage,engV,engType,registration,year,model,drive
Volkswagen,18500,sedan,74,1.8,Petrol,yes,2011,Passat CC,front
BMW,38000,sedan,74,2,Diesel,yes,2014,520,rear
Volkswagen,20700,vagon,74,2,Diesel,yes,2013,Passat B7,
Ford,6900,van,74,1.8,Diesel,yes,2011,Transit Connect ����.,front
VAZ,3750,sedan,74,1.6,Petrol,yes,2012,2170,front
Audi,27500,sedan,74,2,Diesel,yes,2011,A5,
Audi,28500,sedan,74,1.8,Petrol,yes,2012,A4,front
Toyota,7500,hatch,74,1.3,Petrol,yes,2008,Yaris,front
BMW,23500,crossover,74,2,Petrol,yes,2010,X1,rear
Porsche,23900,crossover,74,4.8,Petrol,yes,2008,Cayenne,full
Porsche,45500,crossover,74,3.6,Petrol,yes,2011,Cayenne,full
Audi,28500,crossover,74,2,Petrol,yes,2010,Q5,full
Hyundai,10700,other,74,2,Gas,yes,2008,Coupe,front
Volkswagen,6500,sedan,74,2,Petrol,no,2011,Jetta,front
Hyundai,8999,hatch,74,1.4,Petrol,yes,2011,i20,
Mercedes-Benz,56800,sedan,74,6.3,Petrol,yes,2010,S 63 AMG,rear
Geely,4600,sedan,74,1.6,Gas,yes,2010,MK,front
Volkswagen,35000,sedan,74,4.2,Gas,yes,2011,Phaeton,full
Mercedes-Benz,22900,sedan,74,2.2,Diesel,yes,2011,C-Class,rear
ZAZ,4800,sedan,74,1.5,Gas,yes,2011,Forza,front
Honda,11000,hatch,74,1.4,Other,yes,2010,Civic,front
Honda,11000,hatch,74,1.4,Other,yes,2010,Insight,front
Toyota,11000,hatch,74,1.4,Other,yes,2010,Prius,front
Mazda,5700,other,74,1.31,Petrol,yes,2006,RX-8,rear
Skoda,19200,sedan,75,1.8,Petrol,yes,2014,Octavia A7,front
Volkswagen,23000,sedan,75,2,Petrol,yes,2013,Passat CC,
Audi,36100,sedan,75,3,Diesel,yes,2011,A7,full
Audi,42700,crossover,75,3,Diesel,yes,2013,Q7,full
Volkswagen,18900,sedan,75,1.8,Petrol,yes,2011,Passat B7,front
Hyundai,13900,sedan,75,1.6,Petrol,yes,2012,Elantra,front
Daewoo,4650,hatch,75,1.5,Petrol,yes,2011,Lanos,front
Audi,48000,crossover,75,3,Diesel,yes,2013,Q7,full
Daewoo,3200,sedan,75,1.4,Petrol,yes,2008,Lanos,front
Hyundai,11500,sedan,75,1.6,Petrol,yes,2011,Accent,front
Daewoo,3200,hatch,75,1,Petrol,yes,2007,Matiz,front
Mercedes-Benz,15500,van,75,2,Diesel,yes,2011,Vito ����.,rear
Chevrolet,15000,sedan,75,1.8,Gas,yes,2014,Cruze,front
VAZ,3550,sedan,75,1.6,Petrol,yes,2006,1118,front
Renault,13000,hatch,75,2,Petrol,yes,2013,Megane,front
Volkswagen,12700,van,75,1.2,Petrol,yes,2012,Caddy ����.,front
Chevrolet,11300,sedan,75,1.8,Other,yes,2013,Cruze,front
Toyota,23500,sedan,75,2.5,Gas,yes,2011,Camry,front
TATA,12900,other,75,2.2,Diesel,yes,2013,Xenon,full
ZAZ,5900,hatch,75,1.5,Gas,yes,2013,Vida,front
BMW,5000,other,75,1.9,Petrol,no,1998,Z3,rear
Peugeot,10900,vagon,75,1.6,Petrol,yes,2012,308,front
VAZ,1650,sedan,75,1.5,Gas,yes,2003,2106,rear
Lexus,23000,hatch,75,1.8,Other,yes,2011,CT,front
Audi,38500,vagon,75,2,Diesel,yes,2013,Q3,full
Land Rover,46000,crossover,75,5,Petrol,yes,2012,Range Rover,full
ZAZ,4000,sedan,75,1.3,Gas,yes,2011,Sens,front
Toyota,12500,hatch,75,1.4,Diesel,yes,2012,Yaris,front
Subaru,10500,sedan,75,2,Petrol,yes,2008,Legacy,full
Volkswagen,10600,sedan,75,1.6,Petrol,yes,2012,Polo,front
VAZ,2000,hatch,75,1.5,Gas,yes,1995,2108,front
Hyundai,14850,sedan,75,18,Gas,yes,2012,Elantra,front
Ford,12200,sedan,75,1,Petrol,yes,2013,Focus,front
Kia,13900,hatch,75,1.6,Petrol,yes,2012,Ceed,front
Nissan,16200,crossover,75,3.5,Gas,yes,2009,Murano,full
Mercedes-Benz,51500,other,75,6.3,Petrol,yes,2009,CL 63 AMG,rear
Land Rover,55000,crossover,75,3,Diesel,yes,2013,Range Rover Sport,full
Ford,26300,crossover,75,2,Diesel,yes,2014,Kuga,full
Peugeot,14500,sedan,75,1.6,Petrol,yes,2013,508,front
Kia,22000,crossover,75,2.4,Gas,yes,2011,Sorento,full
Chevrolet,7300,sedan,75,1.6,Gas,yes,2012,Lacetti,front
Porsche,55555,crossover,75,4.8,Petrol,yes,2011,Cayenne,full
Honda,18700,sedan,75,2,Gas,yes,2011,Accord,front
Infiniti,13999,other,75,3.5,Petrol,yes,2006,G35,rear
Nissan,17200,crossover,75,3.5,Gas,yes,2009,Murano,full
Dodge,10500,crossover,75,2,Petrol,yes,2008,Caliber,front
VAZ,4700,vagon,75,1.6,Petrol,yes,2010,2171,front
Skoda,22500,vagon,75,1.8,Petrol,yes,2014,Superb,front
ZAZ,2300,sedan,75,1.2,Petrol,yes,2008,1103 �������,front
Subaru,9999,sedan,76,2,Petrol,yes,2008,Legacy,full
Mercedes-Benz,69900,sedan,76,6,Petrol,yes,2010,S 500,rear
Chevrolet,5555,crossover,76,1.7,Petrol,yes,2007,Niva,full
Kia,26900,crossover,76,2.2,Diesel,yes,2013,Sorento,full
Mercedes-Benz,69900,sedan,76,6,Petrol,yes,2010,S 65 AMG,rear
Volkswagen,17500,sedan,76,1.8,Petrol,yes,2012,Passat B7,front
Skoda,13400,sedan,76,1.8,Petrol,yes,2013,Octavia A5,front
Hyundai,6300,sedan,76,1.8,Petrol,yes,2010,Accent,front
Chrysler,13800,vagon,76,2.7,Petrol,yes,2009,300 C,rear
Daewoo,3500,hatch,76,0.8,Petrol,yes,2007,Matiz,front
Chery,2800,hatch,76,1.1,Petrol,yes,2007,QQ,front
GAZ,4300,other,76,2.5,Gas,yes,2006,3302 GAZ���,rear
Chevrolet,4899,crossover,76,1.7,Petrol,yes,2006,Niva,full
Skoda,5900,hatch,76,1.2,Petrol,yes,2007,Fabia,front
Land Rover,49800,crossover,76,5,Petrol,yes,2012,Range Rover Sport,full
Lifan,4300,hatch,76,1.3,Petrol,yes,2013,320,
VAZ,950,sedan,76,1.3,Petrol,yes,1983,2105,rear
Lexus,48000,crossover,76,4.6,Gas,yes,2010,GX,full
Chevrolet,23500,crossover,76,2.2,Diesel,yes,2013,Captiva,full
Porsche,0,crossover,76,3,Diesel,yes,2013,Cayenne,full
ZAZ,5950,sedan,76,1.5,Petrol,yes,2014,Vida,front
Honda,19300,crossover,76,2.4,Gas,yes,2011,CR-V,full
Mazda,28000,crossover,76,2.5,Petrol,yes,2014,CX-5,full
UAZ,2200,crossover,76,2.4,Gas,yes,1976,469,full
Hyundai,8500,hatch,76,1.1,Petrol,yes,2011,i10,front
BMW,45500,crossover,76,4.4,Petrol,yes,2010,X6 M,full
Kia,8900,hatch,76,1.6,Petrol,yes,2008,Ceed,front
Toyota,0,hatch,76,1,Petrol,yes,2007,Aygo,front
Lexus,21900,sedan,77,3,Petrol,yes,2008,GS 300,rear
Honda,16777,sedan,77,2.4,Petrol,yes,2011,Accord,front
Skoda,12700,sedan,77,1.6,Diesel,yes,2013,Rapid,front
Chevrolet,13300,hatch,77,1.8,Other,yes,2012,Cruze,front
Suzuki,14300,crossover,77,2.4,Petrol,yes,2010,Grand Vitara,full
Toyota,20999,sedan,77,2.5,Gas,yes,2012,Camry,front
Volkswagen,15900,sedan,77,1.4,Petrol,yes,2012,Jetta,front
Mercedes-Benz,24500,other,77,1.8,Petrol,yes,2011,C-Class,
Mercedes-Benz,25500,crossover,77,3.5,Petrol,yes,2008,ML 350,full
VAZ,1500,hatch,77,1.3,Gas,yes,1991,2108,front
VAZ,2100,hatch,77,1.3,Petrol,yes,1992,2108,front
Peugeot,13700,van,77,1.6,Diesel,yes,2011,3008,front
Skoda,14700,vagon,77,1.8,Petrol,yes,2012,Octavia Scout,full
Lexus,32555,crossover,77,3.5,Petrol,yes,2011,RX 350,full
Subaru,11900,hatch,77,2,Petrol,yes,2008,Impreza,full
Hyundai,7900,other,77,1.2,Petrol,yes,2011,i20,front
Chevrolet,12555,sedan,77,1.8,Gas,yes,2011,Cruze,front
Toyota,36800,crossover,77,3,Diesel,yes,2012,Land Cruiser Prado,full
Chevrolet,4500,sedan,77,1.5,Petrol,yes,2005,Aveo,
Chery,6350,crossover,77,2.4,Gas,yes,2008,Tiggo,front
Porsche,54500,sedan,77,4.8,Petrol,yes,2012,Panamera,full
Skoda,7000,hatch,77,1.4,Petrol,yes,2007,Roomster,front
Renault,3400,hatch,77,1.8,Other,yes,1994,Laguna,front
Renault,9500,hatch,77,1.6,Petrol,yes,2011,Megane,front
BMW,51500,hatch,77,3,Petrol,yes,2012,535,full
Nissan,8700,hatch,77,1.4,Petrol,yes,2011,Note,front
Ford,11000,other,77,1.6,Petrol,yes,2012,Focus,front
VAZ,1300,hatch,77,1.5,Gas,yes,1996,2108,front
Porsche,51900,sedan,78,4.8,Petrol,yes,2011,Panamera,
Renault,12499,van,78,2,Diesel,yes,2012,Trafic ����.,front
BMW,28900,sedan,78,2,Petrol,yes,2012,528,rear
Renault,9500,vagon,78,1.5,Diesel,yes,2014,Kangoo ����.,front
Hyundai,11200,crossover,78,2,Petrol,yes,2009,Tucson,full
Hyundai,12333,crossover,78,2,Petrol,yes,2009,Tucson,full
Mitsubishi,7999,sedan,78,1.5,Gas,yes,2011,Lancer X,front
Mazda,15000,sedan,78,2,Petrol,yes,2010,6,front
Seat,9100,vagon,78,1.2,Diesel,yes,2013,Ibiza,front
Mitsubishi,19400,crossover,78,2.4,Petrol,yes,2012,Outlander XL,full
Honda,20500,crossover,78,2,Gas,yes,2012,CR-V,full
Volkswagen,25200,crossover,78,2,Diesel,yes,2012,Tiguan,full
Honda,14500,sedan,78,2,Petrol,yes,2010,Accord,front
Ford,15300,vagon,78,1.8,Petrol,yes,2014,Focus,front
Mitsubishi,19400,crossover,78,1.8,Petrol,yes,2012,Outlander XL,full
Nissan,11500,crossover,78,1.6,Petrol,yes,2011,Juke,front
Mitsubishi,9000,sedan,78,2.4,Gas,yes,2006,Galant,front
Mazda,15999,crossover,78,3.7,Petrol,yes,2009,CX-9,full
Hyundai,16900,crossover,78,2,Petrol,yes,2011,IX35,full
Land Rover,43900,crossover,78,5,Petrol,yes,2011,Range Rover,full
Jaguar,29500,sedan,78,3,Petrol,yes,2013,XF,rear
Ford,9950,hatch,78,1.8,Petrol,yes,2012,Fiesta,front
Volkswagen,10400,sedan,78,1.6,Petrol,yes,2012,Polo,front
Ford,8700,hatch,78,1.4,Diesel,yes,2012,Fiesta,front
Daewoo,4000,sedan,78,1.3,Gas,yes,2011,Sens,front
Lexus,75000,sedan,78,4.6,Petrol,yes,2013,LS 460,full
Daewoo,4700,other,78,1.5,Petrol,yes,2011,Lanos,front
ZAZ,4000,sedan,78,1.3,Gas,yes,2011,Sens,front
Kia,17650,crossover,78,2,Petrol,yes,2013,Sportage,front
Hyundai,10400,sedan,78,1.4,Petrol,yes,2011,Accent,front
Ford,9900,hatch,78,1,Petrol,yes,2013,Fiesta,front
Citroen,7600,vagon,78,1.4,Petrol,yes,2012,C3 Picasso,
Suzuki,7700,hatch,78,1.3,Petrol,yes,2007,Swift,front
Mercedes-Benz,28900,other,78,3.5,Petrol,yes,2010,E-Class,rear
Citroen,12999,hatch,78,1.4,Diesel,yes,2013,DS3,front
VAZ,1299,vagon,78,1.5,Gas,yes,1996,2104,rear
BMW,30000,sedan,78,3.8,Petrol,yes,1993,M5,rear
Honda,10500,other,78,1.4,Other,yes,2012,Jazz,front
Ford,14999,crossover,79,2.5,Petrol,yes,2013,Kuga,full
Mazda,15600,crossover,79,3.5,Petrol,yes,2008,CX-9,full
BMW,18500,sedan,79,3,Diesel,no,2012,530,rear
Nissan,9800,hatch,79,1.6,Gas,yes,2009,TIIDA,front
Mitsubishi,13200,crossover,79,2.4,Gas,yes,2009,Outlander,full
Lexus,32500,crossover,79,3.5,Petrol,yes,2011,RX 350,full
Mazda,12200,crossover,79,2.3,Petrol,yes,2008,CX-7,full
Skoda,10750,hatch,79,1.8,Petrol,yes,2010,Octavia A5,front
ZAZ,4600,hatch,79,1.5,Petrol,yes,2011,Forza,front
Porsche,52000,crossover,79,3,Diesel,yes,2011,Cayenne,full
Chery,3300,sedan,79,1.6,Petrol,yes,2007,Amulet,front
Mitsubishi,7500,sedan,79,1.6,Gas,yes,2008,Lancer,front
Chevrolet,6700,sedan,79,1.5,Other,yes,2008,Aveo,front
Toyota,13900,hatch,79,1.6,Gas,yes,2012,Auris,front
Ford,17499,sedan,79,2,Diesel,yes,2014,Mondeo,front
Kia,20300,crossover,79,2,Petrol,yes,2013,Sportage,full
Honda,16900,crossover,79,2.4,Petrol,yes,2008,CR-V,full
VAZ,4450,sedan,79,1.6,Gas,yes,2012,2115,front
BMW,21000,hatch,79,1.6,Petrol,yes,2013,118,rear
Hyundai,6400,hatch,79,1.4,Petrol,yes,2007,Getz,front
Audi,49900,other,79,4.2,Petrol,yes,2007,R8,full
Geely,9900,sedan,79,2,Gas,yes,2014,Emgrand 8,front
Dadi,4500,other,79,2.28,Petrol,yes,2007,BDD,rear
Ford,16900,sedan,79,2,Petrol,yes,2012,Mondeo,front
Kia,6900,sedan,79,1.4,Other,yes,2010,Rio,front
Nissan,16700,crossover,79,2,Gas,yes,2012,Qashqai,full
Nissan,16700,crossover,79,2,Gas,yes,2012,Qashqai+2,full
Renault,8200,hatch,79,1.6,Petrol,yes,2008,Laguna,front
Volkswagen,9900,sedan,80,1.6,Petrol,yes,2011,Polo,front
VAZ,3600,other,80,2,Gas,yes,2002,2121,full
Chevrolet,6700,sedan,80,1.5,Petrol,yes,2011,Aveo,front
Nissan,6700,sedan,80,1.8,Petrol,yes,2003,Primera,front
Kia,19600,crossover,80,2,Gas,yes,2013,Sportage,full
Volkswagen,15500,sedan,80,1.4,Petrol,yes,2013,Jetta,front
BMW,36400,crossover,80,3,Petrol,yes,2011,X5,full
Chevrolet,34000,other,80,6,Petrol,yes,2006,Corvette,rear
VAZ,1700,sedan,80,1.8,Other,yes,1999,2106,
MINI,20000,hatch,80,1.6,Petrol,yes,2012,Countryman,front
Ford,20000,other,80,4,Petrol,yes,2008,Mustang,rear
Land Rover,45000,crossover,80,5,Petrol,yes,2010,Range Rover,full
Audi,49700,crossover,80,3,Diesel,yes,2013,Q7,full
Daewoo,4999,hatch,80,1.5,Petrol,yes,2013,Lanos,front
Toyota,21999,sedan,80,2.5,Other,yes,2012,Camry,front
BMW,41000,crossover,80,3,Petrol,yes,2012,X6,full
VAZ,3850,sedan,80,1.6,Petrol,yes,2008,2170,front
Land Rover,89000,crossover,80,5,Petrol,yes,2013,Range Rover,full
Toyota,25000,crossover,80,4,Gas,yes,2008,FJ Cruiser,full
Mercedes-Benz,9999,sedan,80,2.3,Petrol,yes,2002,C-Class,rear
Volkswagen,17999,sedan,80,1.8,Petrol,yes,2012,Passat B7,
Skoda,22222,sedan,80,2,Diesel,yes,2014,Octavia A7,front
Volkswagen,23999,sedan,80,1.8,Petrol,yes,2012,Passat CC,
Mazda,3900,sedan,80,2,Petrol,yes,1997,Xedos 6,front
Volkswagen,23000,sedan,80,2,Other,yes,2011,Passat CC,
Lexus,18900,sedan,80,3.5,Petrol,yes,2007,ES 350,front
Toyota,45000,crossover,80,4,Petrol,yes,2013,Land Cruiser Prado,full
Daewoo,4300,sedan,80,1.3,Gas,yes,2012,Sens,front
Porsche,45500,sedan,80,3.6,Petrol,yes,2011,Panamera,full
Chevrolet,7000,sedan,80,1.8,Petrol,yes,2008,Lacetti,front
Ford,8200,hatch,80,1.3,Petrol,yes,2010,Fiesta,front
BMW,13900,other,80,3,Petrol,yes,2002,330,rear
BMW,53999,sedan,80,2.99,Diesel,yes,2012,550,full
Skoda,17000,sedan,80,1.4,Petrol,yes,2014,Octavia A7,front
Ford,16900,sedan,80,2,Petrol,yes,2011,Mondeo,front
Skoda,11999,sedan,80,1.8,Petrol,yes,2012,Octavia A5,front
Land Rover,41000,crossover,80,5,Petrol,yes,2011,Range Rover Sport,full
BMW,44000,crossover,80,3,Diesel,yes,2012,X5,full
VAZ,4000,crossover,80,1.6,Petrol,yes,2006,2121,
Toyota,14400,sedan,80,2.4,Petrol,yes,2008,Camry,front
Citroen,0,hatch,80,1.6,Petrol,yes,2012,DS4,front
Honda,16300,crossover,80,2,Petrol,yes,2009,CR-V,full
Mitsubishi,8700,sedan,80,1.5,Petrol,yes,2008,Lancer X,front
Mercedes-Benz,10000,sedan,80,1.8,Diesel,yes,2010,S 350,rear
Subaru,17500,crossover,80,1.8,Other,yes,2008,Tribeca,full
Skoda,11300,sedan,80,1.8,Petrol,yes,2008,Superb,front
GAZ,6500,sedan,80,1.8,Other,yes,1979,24,
BMW,45000,crossover,80,3,Petrol,yes,2011,X6,full
VAZ,1800,hatch,80,1.5,Gas,yes,1997,2109,front
BMW,25999,sedan,80,2,Petrol,yes,2012,320,rear
BMW,41000,crossover,80,3,Petrol,yes,2012,X6,full
BMW,58500,crossover,80,3,Diesel,yes,2013,X5,full
BMW,58500,crossover,80,3,Diesel,yes,2013,X5 M,full
Ford,14999,crossover,80,2.5,Petrol,yes,2011,Kuga,full
Mazda,13899,sedan,80,1.8,Gas,yes,2011,6,front
Nissan,17900,crossover,80,3.5,Petrol,yes,2009,Murano,full
Chery,3400,sedan,80,1.6,Gas,yes,2009,Amulet,front
Chevrolet,5700,sedan,80,1.5,Petrol,yes,2007,Aveo,front
Skoda,8600,sedan,80,1.8,Gas,yes,2008,Octavia Tour,front
Audi,31500,sedan,80,2,Petrol,yes,2013,A6,front
Peugeot,12500,hatch,80,1.4,Diesel,yes,2013,208,front
Honda,17800,sedan,80,2,Petrol,yes,2011,Accord,
VAZ,4800,sedan,80,1.6,Petrol,yes,2011,2110,front
Toyota,23500,sedan,80,2.5,Gas,yes,2014,Camry,front
Groz,3800,van,80,2.2,Petrol,yes,2008,Polarsun Business Van,rear
Volkswagen,49500,crossover,80,3,Diesel,yes,2014,Touareg,full
GAZ,980,sedan,80,2.5,Gas,yes,2004,3110,
Smart,4300,hatch,80,0.6,Petrol,yes,2000,City,
Subaru,18500,crossover,80,2,Petrol,yes,2012,Forester,full
Audi,14300,other,80,4.2,Petrol,yes,2004,A8,full
Geely,4250,sedan,80,1.6,Petrol,yes,2008,MK,front
Mazda,12900,sedan,80,1.6,Gas,yes,2013,3,front
Toyota,28700,crossover,80,3.5,Gas,yes,2012,Highlander,full
Skoda,7200,hatch,80,1.2,Petrol,yes,2013,Fabia,front
Skoda,8500,sedan,80,1.8,Petrol,yes,2013,Roomster,
Volkswagen,23999,sedan,80,2,Diesel,yes,2014,Passat B7,front
Barkas,5500,van,80,1.8,Petrol,yes,2015,B1000,
Peugeot,8950,hatch,80,1.6,Petrol,yes,2012,308,front
UAZ,3500,crossover,80,2.9,Gas,yes,2008,3741,full
Mazda,10800,van,80,2,Petrol,yes,2008,5,front
Suzuki,9650,crossover,81,2,Petrol,yes,2006,Grand Vitara,full
Chevrolet,6300,hatch,81,1.6,Petrol,yes,2009,Lacetti,front
Chevrolet,5800,crossover,81,1.7,Gas,yes,2007,Niva,full
Land Rover,84999,crossover,81,5,Petrol,yes,2013,Range Rover,full
Nissan,8500,hatch,81,1.6,Petrol,yes,2008,TIIDA,front
Opel,11440,sedan,81,1.6,Petrol,yes,2013,Astra H,front
Skoda,16000,crossover,81,1.8,Petrol,yes,2012,Yeti,full
Renault,12000,sedan,81,2,Petrol,yes,2012,Fluence,front
BMW,36900,sedan,81,3,Diesel,yes,2010,730,rear
Nissan,16200,crossover,81,2,Gas,yes,2012,Qashqai,full
Mitsubishi,9800,sedan,81,2,Petrol,yes,2009,Lancer X,front
Suzuki,14000,crossover,81,2.4,Petrol,yes,2009,Grand Vitara,full
Volkswagen,5000,sedan,81,1.8,Other,no,2013,Passat B7,
Jaguar,18777,sedan,82,3,Petrol,yes,2008,XF,rear
Mercedes-Benz,44000,other,82,5.5,Petrol,yes,2010,S 500,full
Volkswagen,20900,sedan,82,2,Diesel,yes,2012,Passat B7,front
BMW,49900,other,82,3,Petrol,yes,2012,640,rear
VAZ,4500,hatch,82,1.6,Petrol,yes,2012,2114,front
Mitsubishi,11700,sedan,82,1.5,Gas,yes,2010,Lancer X,
Lexus,47000,crossover,82,5.7,Petrol,yes,2009,LX 570,full
Toyota,14500,other,82,2,Gas,yes,2007,Rav 4,full
Toyota,10500,sedan,82,1.8,Petrol,yes,2010,Corolla,front
Infiniti,36900,crossover,82,3,Diesel,yes,2012,FX 30,full
Land Rover,107000,crossover,82,4.4,Diesel,yes,2014,Range Rover,full
Lexus,19999,sedan,82,4.6,Petrol,yes,2008,LS 460,front
Lexus,33700,crossover,82,3.5,Petrol,yes,2010,RX 350,full
Toyota,32900,crossover,82,2.7,Petrol,yes,2013,Venza,full
Honda,12200,hatch,82,1.8,Petrol,yes,2009,Civic,front
ZAZ,4580,other,82,1.2,Petrol,yes,2008,110557,front
Ford,5400,hatch,82,1.25,Petrol,yes,2007,Fiesta,front
Mercedes-Benz,15000,other,82,1.8,Petrol,yes,2004,SLK 200,rear
Honda,13700,other,82,2.4,Petrol,yes,2008,Accord,front
VAZ,1700,sedan,82,1.5,Petrol,yes,2004,2107,rear
Subaru,15800,crossover,82,2,Petrol,yes,2012,Forester,full
Hyundai,6600,sedan,82,1.4,Petrol,yes,2006,Accent,front
Toyota,8200,hatch,82,1.3,Petrol,yes,2006,Yaris,front
VAZ,5250,hatch,82,1.6,Gas,yes,2012,2114,front
Kia,22400,crossover,82,2.2,Diesel,yes,2013,Sorento,full
Ford,8780.85,sedan,82,1.6,Petrol,yes,2011,Focus,front
Chevrolet,8200,sedan,82,1.6,Gas,yes,2012,Lacetti,front
Hyundai,6200,sedan,82,1.4,Gas,yes,2009,Accent,front
Volkswagen,19500,sedan,82,1.8,Petrol,yes,2011,Passat B7,front
Smart,7800,other,82,1,Petrol,yes,2012,Fortwo,rear
Acura,17200,crossover,82,3.7,Petrol,yes,2008,MDX,full
VAZ,3650,sedan,82,1.6,Petrol,yes,2008,1118,front
Fiat,7700,sedan,82,1.4,Petrol,yes,2009,Linea,front
Kia,26000,crossover,82,3,Diesel,yes,2011,Mohave,full
Mercedes-Benz,137000,crossover,82,5.5,Petrol,yes,2014,G 63 AMG,full
Kia,9850,van,82,2,Petrol,yes,2009,Carens,
BMW,36900,crossover,82,3,Petrol,yes,2010,X6,full
VAZ,2500,sedan,82,1.5,Petrol,yes,2007,2107,rear
Mitsubishi,6800,sedan,82,2,Petrol,yes,2007,Lancer,
BMW,39900,crossover,82,3,Petrol,yes,2011,X6,full
Hyundai,10200,other,82,2,Gas,yes,2008,Coupe,front
Audi,48900,other,82,4.2,Petrol,yes,2007,R8,full
ZAZ,2100,sedan,82,1.2,Petrol,yes,2007,1103 �������,front
Ford,1400,sedan,82,1.6,Gas,yes,1991,Orion,front
Lexus,33700,crossover,82,3.5,Other,yes,2010,RX 450,full
Nissan,7900,sedan,82,1.6,Petrol,yes,2008,TIIDA,front
Nissan,16600,crossover,83,2,Petrol,yes,2013,X-Trail,full
Nissan,16600,crossover,83,2,Petrol,yes,2013,X-Trail,full
Mitsubishi,7200,sedan,83,1.6,Other,yes,2007,Lancer,front
Renault,7250,van,83,1.8,Other,yes,2013,Kangoo ����.,
Chery,3500,sedan,83,1.6,Petrol,yes,2008,Amulet,front
Nissan,16600,crossover,83,2,Petrol,yes,2013,X-Trail,full
Chevrolet,11100,sedan,83,1.8,Petrol,yes,2011,Cruze,front
Toyota,28900,crossover,83,3.5,Gas,yes,2012,Highlander,full
Renault,14200,crossover,83,2,Diesel,yes,2012,Koleos,full
Toyota,28900,crossover,83,1.8,Petrol,yes,2012,Highlander,full
Chevrolet,10000,sedan,83,1.8,Gas,yes,2011,Cruze,front
Peugeot,5390,sedan,83,1.4,Petrol,yes,2009,206,
Chevrolet,5500,hatch,83,1.5,Petrol,yes,2009,Aveo,front
BMW,36300,crossover,83,3.5,Petrol,yes,2010,X6,full
Mercedes-Benz,29900,sedan,83,2.2,Diesel,yes,2012,E-Class,rear
Hyundai,17600,crossover,83,2,Petrol,yes,2011,IX35,full
Opel,14300,sedan,83,1.8,Gas,yes,2010,Insignia,front
Daewoo,3750,sedan,83,1.5,Gas,yes,2007,Lanos,front
Kia,20999,crossover,83,2,Diesel,yes,2013,Sportage,full
VAZ,4850,vagon,83,1.6,Gas,yes,2010,2111,front
Audi,23500,other,83,2,Petrol,yes,2009,A5,full
Toyota,14299,sedan,83,2,Petrol,yes,2009,Avensis,front
Ford,17600,crossover,83,2.5,Gas,yes,2011,Kuga,full
Citroen,7700,hatch,83,1.6,Gas,yes,2008,C4,front
Skoda,12226.5,crossover,83,1.2,Petrol,yes,2012,Yeti,front
Toyota,10100,other,83,1.6,Other,yes,2008,Corolla,front
Dacia,6900,vagon,83,1.6,Gas,yes,2009,Logan,front
Land Rover,45000,crossover,83,2.4,Diesel,yes,2008,Defender,full
Seat,7800,other,83,1.4,Petrol,yes,2008,Ibiza,front
Hyundai,20300,crossover,83,2,Diesel,yes,2011,IX35,full
Mercedes-Benz,39900,sedan,84,5.5,Petrol,yes,2011,S 500,full
VAZ,2900,sedan,84,1.6,Petrol,yes,2007,21099,front
Suzuki,7300,hatch,84,1.3,Petrol,yes,2008,Swift,front
Honda,9750,sedan,84,1.3,Petrol,yes,2008,Civic,front
Daewoo,4200,sedan,84,1.5,Petrol,yes,2004,Lanos,front
Skoda,9500,hatch,84,1.6,Petrol,yes,2008,Octavia Tour,front
Hyundai,7000,hatch,84,1.6,Petrol,yes,2008,Getz,front
Opel,5900,sedan,84,1.6,Gas,yes,2008,Astra G,front
VAZ,4150,sedan,84,1.6,Petrol,yes,2009,2170,front
Mercedes-Benz,69500,crossover,84,3,Diesel,yes,2014,GL 350,full
Volkswagen,12500,sedan,84,2,Petrol,yes,2007,Passat B6,front
Fiat,8600,sedan,84,1.4,Petrol,yes,2013,Linea,front
Mitsubishi,12999,crossover,84,2.4,Petrol,yes,2009,Outlander XL,full
Opel,15900,other,84,2,Diesel,yes,2010,Vivaro ����.,front
Geely,3600,sedan,84,1.6,Petrol,yes,2008,MK,front
Mitsubishi,26850,crossover,84,3.2,Diesel,yes,2012,Pajero Wagon,full
Toyota,22900,sedan,84,2.5,Petrol,yes,2012,Camry,front
Toyota,35900,crossover,84,3,Diesel,yes,2013,Land Cruiser Prado,full
Ford,8700,hatch,84,1.6,Petrol,yes,2010,Fusion,front
Renault,8400,hatch,84,1.5,Diesel,yes,2011,Kangoo ����.,front
Skoda,9600,hatch,84,1.8,Petrol,yes,2006,Octavia Tour,front
Infiniti,18500,sedan,84,2.5,Petrol,yes,2010,G25,rear
Peugeot,7400,sedan,84,2,Petrol,yes,2006,407,front
Volkswagen,35999,crossover,84,3,Diesel,yes,2011,Touareg,full
Ford,16200,crossover,84,2.5,Petrol,yes,2011,Kuga,full
Nissan,12799,crossover,84,1.6,Petrol,yes,2011,Qashqai,front
Mitsubishi,9200,sedan,84,2,Petrol,yes,2009,Lancer X,front
Honda,17700,sedan,84,2,Petrol,yes,2011,Accord,front
Renault,8600,hatch,84,1.5,Diesel,yes,2012,Clio,rear
Skoda,6100,vagon,84,1.2,Petrol,yes,2007,Fabia,front
Chevrolet,7800,sedan,85,1.6,Gas,yes,2012,Lacetti,front
Lexus,43800,crossover,85,5.7,Gas,yes,2009,LX 570,full
Citroen,13200,hatch,85,1.8,Diesel,yes,2012,C4,front
